x1,x2,x3,log10sigmav
-2.7,-1.0,-2.3,-3.498710483253141
-2.7,-1.0,-2.0,-2.8987132095146695
-2.7,-1.0,-1.6999999999999997,-2.2987240625569543
-2.7,-1.0,-1.3999999999999995,-1.6987672629524821
-2.7,-1.0,-1.0999999999999996,-1.0989391463441986
-2.7,-1.0,-0.7999999999999998,-0.4996218380654619
-2.7,-1.0,-0.5,0.09768523408855888
-2.7,-0.8,-5.6,-9.444625909204502
-2.7,-0.8,-5.3,-8.844625909205387
-2.7,-0.8,-5.0,-8.244625909208906
-2.7,-0.8,-4.699999999999999,-7.644625909222914
-2.7,-0.8,-4.3999999999999995,-7.04462590927869
-2.7,-0.8,-4.1,-6.444625909500733
-2.7,-0.8,-3.8,-5.844625910384702
-2.7,-0.8,-3.4999999999999996,-5.244625913903841
-2.7,-0.8,-3.1999999999999997,-4.644625927913789
-2.7,-0.8,-2.9,-4.044625983688388
-2.7,-0.8,-2.5999999999999996,-3.444626205730952
-2.7,-0.8,-2.3,-2.8446270896965187
-2.7,-0.8,-2.0,-2.2446306087982317
-2.7,-0.8,-1.6999999999999997,-1.6446446181413465
-2.7,-0.8,-1.3999999999999995,-1.04470038316012
-2.7,-0.8,-1.0999999999999996,-0.44492227396119804
-2.7,-0.8,-0.7999999999999998,0.15419616109953063
-2.7,-0.8,-0.5,0.7507148157320812
-2.7,-0.6,-5.6,-8.767521354102177
-2.7,-0.6,-5.3,-8.167521354103188
-2.7,-0.6,-5.0,-7.567521354107214
-2.7,-0.6,-4.699999999999999,-6.967521354123236
-2.7,-0.6,-4.3999999999999995,-6.36752135418703
-2.7,-0.6,-4.1,-5.767521354440995
-2.7,-0.6,-3.8,-5.167521355452047
-2.7,-0.6,-3.4999999999999996,-4.567521359477119
-2.7,-0.6,-3.1999999999999997,-3.9675213755012204
-2.7,-0.6,-2.9,-3.367521439294307
-2.7,-0.6,-2.5999999999999996,-2.76752169325904
-2.7,-0.6,-2.3,-2.1675227043089733
-2.7,-0.6,-2.0,-1.5675267293414807
-2.7,-0.6,-1.6999999999999997,-0.9675427528125972
-2.7,-0.6,-1.3999999999999995,-0.3676065359219367
-2.7,-0.6,-1.0999999999999996,0.23213965739671816
-2.7,-0.6,-0.7999999999999998,0.8311311077003027
-2.7,-0.6,-0.5,1.427145406977763
-2.7,-0.3999999999999999,-5.6,-8.111265192766318
-2.7,-0.3999999999999999,-5.3,-7.511265192767403
-2.7,-0.3999999999999999,-5.0,-6.91126519277172
-2.7,-0.3999999999999999,-4.699999999999999,-6.311265192788902
-2.7,-0.3999999999999999,-4.3999999999999995,-5.711265192857314
-2.7,-0.3999999999999999,-4.1,-5.1112651931296655
-2.7,-0.3999999999999999,-3.8,-4.511265194213914
-2.7,-0.3999999999999999,-3.4999999999999996,-3.911265198530383
-2.7,-0.3999999999999999,-3.1999999999999997,-3.3112652157145583
-2.7,-0.3999999999999999,-2.9,-2.711265284125984
-2.7,-0.3999999999999999,-2.5999999999999996,-2.1112655564766536
-2.7,-0.3999999999999999,-2.3,-1.5112666407222985
-2.7,-0.3999999999999999,-2.0,-0.9112709571518246
-2.7,-0.3999999999999999,-1.6999999999999997,-0.3112881406897411
-2.7,-0.3999999999999999,-1.3999999999999995,0.288643457980996
-2.7,-0.3999999999999999,-1.0999999999999996,0.888371267248437
-2.7,-0.3999999999999999,-0.7999999999999998,1.4872895517196891
-2.7,-0.3999999999999999,-0.5,2.0830129269908353
-2.7,-0.19999999999999996,-5.6,-7.5178073302297355
-2.7,-0.19999999999999996,-5.3,-6.917807330230864
-2.7,-0.19999999999999996,-5.0,-6.317807330235353
-2.7,-0.19999999999999996,-4.699999999999999,-5.717807330253226
-2.7,-0.19999999999999996,-4.3999999999999995,-5.1178073303243865
-2.7,-0.19999999999999996,-4.1,-4.517807330607678
-2.7,-0.19999999999999996,-3.8,-3.9178073317354807
-2.7,-0.19999999999999996,-3.4999999999999996,-3.3178073362253424
-2.7,-0.19999999999999996,-3.1999999999999997,-2.717807354099805
-2.7,-0.19999999999999996,-2.9,-2.1178074252593153
-2.7,-0.19999999999999996,-2.5999999999999996,-1.517807708550305
-2.7,-0.19999999999999996,-2.3,-0.917808836350143
-2.7,-0.19999999999999996,-2.0,-0.3178133261719284
-2.7,-0.19999999999999996,-1.6999999999999997,0.282168800004815
-2.7,-0.19999999999999996,-1.3999999999999995,0.8820976506266992
-2.7,-0.19999999999999996,-1.0999999999999996,1.4818145201359096
-2.7,-0.19999999999999996,-0.7999999999999998,2.0806892593211535
